House Description,Price,Bedrooms,Bathrooms,Full Baths,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Area,Community,Condo,City,County,Province,Postal Code,Features,Parking Spaces,Parking,Is Waterfront,Has Pool,Interior,Interior Features,Heating,Fireplace,# of Stories,Has Basement,Basement,Separate Entrance,Exterior,Exterior Features,Construction,Foundation,Elementary,Middle,High,Foreclosure,RE / Bank Owned,Office,Bedrooms Above Grade,# of Garages,Garages,Half Baths,Fireplaces,Zoning,Lot Description,HOA Fees,HOA Fees Freq.,Condo Fee
"Are you interested in a dream lot in order to build your dream home? Or are you a renovator enthusiast who sees the potential in well built older homes? Either way, this is the property for you! Archetectually designed by Wallbridge & Imrie, this lovely 2 storey, 4 bed, 4 bath home is just over 1750 sq ft and offers a fantastic layout, amazing natural lighting, and a fantastic location! Situated in the heart of prestigious Windsor Park, on a desirable 11,325 sq ft lot, you are close to all amenities, including being able to walk to the highly rated Windsor Park Elementary School, the University of Alberta, Univ. of AB Hospital, the Cross Cancer Institute, Mazankowski Alberta Heart Institute, Hawrelak Park, Mayfair Golf Course, river valley, parks, trails and so much more. This 0.26 acre lot is 90.5' in front, 153' on the north, 132' on the south side and 72' in the back. Build your dream home or renovate the existing house...either way it's a win/win!","$899,900",4,4.00,1,"1,753",0.26,1953,Single Family,Residential Detached Single Family,2 Storey,11752 University Avenue Nw,Edmonton,Windsor Park,,Edmonton,ALBERTA,AB,T6G 1Z5,"Deck, No Animal Home",,Double Carport,No,No,"Carpet, Linoleum","Dishwasher-Built-In, Dryer, Refrigerator, Washer, Stove-Gas, Garburator",Forced Air-1,Yes,3,Yes,"Full, Fully Finished",No,Vinyl,"Back Lane, Flat Site, Public Transportation, Schools, Shopping Nearby, Fenced, Golf Nearby, Playground Nearby",Wood Frame,Concrete,"Windsor Park, Belgravia",McKernan,Strathcona HS,No,No,Courtesy Of Gabriella Maddalena-Makar Of RE/MAX Elite,4,,,3,"Wood, Brick Facing",,,,,
"PRIME ESTATE HOME. This Luxurious home sits on one of the Biggest Double Wide Corner Lots, & one of the largest Backyards in Central Edmonton (14,181SQ.FT). Located in Wadhurst Estates Westmount. The home features 5 bedrooms, 5 bathrooms, 5 car ATTACHED garage, 4 BALCONIES, large fenced in yard sitting on of land! Front entry welcomes you to the modern designed floor plan featuring BAMBOO HARDWOOD floors, spacious living room, luxury dinning room featuring cathedral like ceilings plus wall of large windows, 2-way gas FIREPLACE dividing dining room and CHEF'S kitchen complete with granite countertops, stainless steel appliances, WOLF gas stove, & sliding doors to the entertaining balcony. Main floor LAUNDRY in large mudroom with access to 5 car attached garage w/ private vault room. Upstairs features long bridge way to the stunning master w/ SPA LIKE ENSUITE! SECOND WING, features bonus room, THEATRE area, 2 more bedrooms, 5 Piece bath. Fully finished basement. TRULY ONE OF A KIND HOME.","$1,799,888",5,5.00,4,"4,732",0.00,1992,Single Family,Residential Detached Single Family,2 Storey,12428 103 Avenue Nw,Edmonton,Westmount,,Edmonton,ALBERTA,AB,T5N 0R3,"Deck, Vinyl Windows, Infill Property, Natural Gas BBQ Hookup, Natural Gas Stove Hookup, Air Conditioner, Carbon Monoxide Detectors, Ceiling 10 ft., Closet Organizers, Detectors Smoke, Fire Pit, Porch, Guest Suite, Hot Tub, Parking-Visitor, Patio, R.V. Storage, Vaulted Ceiling, Wet Bar",,"Double Garage Attached, Heated, Quad or More Attached, Rear Drive Access, Shop, Triple Garage Attached",No,No,"Bamboo, Hardwood, Slate","Dishwasher-Built-In, Dryer, Garage Opener, Hood Fan, Refrigerator, Storage Shed, Washer, Stove-Gas, Vacuum Systems, Wine/Beverage Cooler, Garage heater, Air Conditioning-Central, Fan-Ceiling, Freezer, Garage Control",Forced Air-1,Yes,3,Yes,"Full, Fully Finished",No,"Stucco, Hardie Board Siding","Playground Nearby, Public Transportation, Schools, Shopping Nearby, Corner, Picnic Area, Subdividable Lot, View Downtown",Wood Frame,Concrete,,,,No,No,Courtesy Of Jeffrey Keasey Of Century 21 Urban Realty,4,9+,,1,"Gas, Double Sided",,,,,
"Like new approx. 2880 SQ FT 3 storey house with finished basement, double detached garage in Griesbach. Total 4 bedrooms, 3.5 baths, husge bonus room on third floor. 9' ceiling on main floor & basement, granite countertops in the kitchen, all good sized bedrooms, close to all amenities.","$662,000",3,4.00,3,"2,874",0.09,2013,Single Family,Residential Detached Single Family,3 Storey,5032 Dewolf Road Nw,Edmonton,Griesbach,,Edmonton,ALBERTA,AB,T5E 6R4,"Ceiling 9 ft., Vinyl Windows, Exterior Walls- 2x6', Cable TV Connection",2,Double Garage Attached,No,No,"Carpet, Laminate Flooring, Concrete","Garage Control, Garage Opener, Hood Fan, Refrigerator, Stove-Electric, Window Coverings",Forced Air-1,Yes,4,Yes,"Full, Fully Finished",No,Vinyl,"Back Lane, Landscaped, Low Maintenance Landscape, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Fenced, Flat Site, Paved Lane",Wood Frame,Concrete,,,,No,No,Courtesy Of Danh Tran Of RE/MAX Real Estate,3,2,,1,"Gas, Glass Door, Tile Surround",,,,,
"Priced below market. Custom built 3015 sq' with 4175 sq' of living space 2.5 storey Riverdale estate home is modern with historic elegance on full sized 50'x150' lot, steps to the river, trails, golf and downtown. Featuring ICF construction, 3 storey spiral staircase, grand 29' high foyer, hardwood floors, spacious veranda, double sided fireplace, formal dining area, five bedrooms, four bathrooms, large loft with dormers fantastic flex area and view of downtown, in floor heating lower floor, triple garage, blinds, deck, fenced, landscaped with RV parking. En-suite 5 pc bath has jetted tub and separate steam shower. Fully finished basement has another fireplace, wet bar, media area, games area, two bedrooms and another full bath. Triple low E windows, on demand hot water, built-in speakers, new shingles (2022), boiler water tank (2022) and hardwood flooring, paint (2022). Downtown is 5 minutes by car or a 15 minute walk. Less than 10 min to UofA or Grant MacEwan Universities. Some photos virtually staged.","$899,999",5,4.00,3,"3,015",0.17,2004,Single Family,Residential Detached Single Family,2 and Half Storey,10244 89 Street Nw,Edmonton,Riverdale,,Edmonton,ALBERTA,AB,T5H 1R1,"Deck, Infill Property, Bar, Exterior Walls- 2x6', Tankless Hot Water",5,"Insulated, RV Parking, Triple Garage Detached",No,No,"Carpet, Ceramic Tile, Hardwood","Dishwasher-Built-In, Dryer, Garage Opener, Microwave Hood Cover, Washer, Window Coverings, Stove-Gas, Vacuum System Attachments, Vacuum Systems, Alarm/Security System, Fan-Ceiling","Forced Air-1, In Floor Heat System",Yes,4,Yes,"Full, Fully Finished",No,"Stone, Vinyl","Back Lane, Fenced, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby, View Downtown",Wood Frame,Insulated Concrete Form,Riverdale,Victoria,Spruce Avenue,No,No,Courtesy Of Kevin Grenier Of MaxWell Polaris,3,3,,1,"Gas, Mantel",,,,,
"Panoramic downtown views & Meticulously designed with finishings that’ll satisfy even the most discerning buyers hi-light this amazing home. A bright open floor plan, 10’ ceilings & massive windows that flood the home with sunlight. The dream kitchen includes a Ceasarstone Suede waterfall island, Fulgor Milano Gas Cooktop, Liebherr built in fridge & freezer, butlers pantry W/ wine rack & beverage fridge! The dining room features a custom window seat, a gas fireplace. The artistic staircase invites you to an upper floor complete with a primary bedroom built like private oasis with an ensuite featuring an exquisite curbless shower and a soaker tub. 2 more bed rooms w/ Jack & Jill bath and laundry complete this floor. You won’t believe the roof top patio where you can enjoy the lights of the Muttart pyramids and downtown Edmonton. That’s not all! The basement has a 2 more bedrooms & an ensuite, climbing wall, kids playhouse & above the double detached garage is a 1 bedroom suite that's generated $1400/month!","$1,459,000",5,4.00,3,"2,356",0.10,2018,Single Family,Residential Detached Single Family,2 and Half Storey,9632 96 Street Nw,Edmonton,Cloverdale,,Edmonton,ALBERTA,AB,T6C 3Z2,"Air Conditioner, Closet Organizers, Deck, Hot Water Natural Gas, No Animal Home, No Smoking Home, Parking-Extra, Parking-Visitor, Patio, Programmable Thermostat, Infill Property, HRV System, Ceiling 10 ft., Hot Tub, Tankless Hot Water, Wet Bar",,Double Garage Detached,No,No,"Carpet, Ceramic Tile, Engineered Wood","Dishwasher-Built-In, Garage Control, Garage Opener, Hood Fan, Microwave Hood Cover, Oven-Microwave, Stove-Electric, Window Coverings, Stove-Countertop Gas, Wine/Beverage Cooler, Dryer-Two, Refrigerators-Two, Washers-Two, Freezer","Forced Air-1, In Floor Heat System",No,3,Yes,"Full, Fully Finished",No,"Metal, Stucco, Cedar","Golf Nearby, Landscaped, Public Transportation, Schools, Shopping Nearby, Ski Hill, View Downtown",Wood Frame,Concrete,,,,No,No,Courtesy Of Jim Dhillon Of RE/MAX Elite,3,2,,1,,,,,,
"Priced to sell! Lot is 10.1m x 42.1m (33' x 138'). Close to Schools, Parks & Shopping. Easy access to Mill Creek Ravine, U of A & Downtown core. Immediate possession available.","$279,900",3,2.00,2,"1,437",0.10,1955,Single Family,Residential Detached Single Family,2 Storey,9732 66 Avenue Nw,Edmonton,Hazeldean,,Edmonton,ALBERTA,AB,T6E 0M3,See Remarks,,"Off Street, 2 Outdoor Stalls, Rear Drive Access",No,No,"Carpet, Hardwood",See Remarks,Forced Air-1,No,2,Yes,"Full, Unfinished",No,Vinyl,"Landscaped, Playground Nearby, Schools, Shopping Nearby, Back Lane, Flat Site, Golf Nearby",Wood Frame,Concrete,Hazeldean,Ritchie,Strathcona,No,No,Courtesy Of Mark Radloff Of RE/MAX River City,3,,,,,,,,,
"Parkview, a great investment for anyone wanting the charm of surburbia coupled with easy access to downtown life. Delightfully situated down a mature tree-lined street and backing the MacKenzie Ravine, this executive style bungalow has been around since the 1960s. Though a gem of a house by its own merits, this lot is destined for a new build. Give up the driving and say yes to walking as schools, grocery stores, and restaurants are nearby. Get extra excited about steps and take up running and dirt biking with the access to the River Valley through the backyard; winter time you can cross country ski or be 'that' person and still be running. Amazing neighbors may talk you into doing the Edmonton Marathon, or invite you to Candy Cane Lane as both events happen blocks away. For dreamers and aspiring socialites!","$799,000",2,2.00,2,"1,513",0.14,1954,Single Family,Residential Detached Single Family,2 Storey,14330 Park Drive Nw,Edmonton,Parkview,,Edmonton,ALBERTA,AB,T5R 5V2,"Vaulted Ceiling, Infill Property, Vacuum System-Roughed-In, Handyman Special, Hot Tub, Skylight, See Remarks",,Double Garage Attached,No,No,"Carpet, Ceramic Tile, Hardwood","Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Hot Tub, Dishwasher-Built-In",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Stucco,"Backs Onto Park/Trees, Private Setting, Schools, Shopping Nearby, Ravine View",Wood Frame,Concrete,Parkview School,Parkview School,Ross Sheppard School,No,No,Courtesy Of Lindsey Defosse Of Greater Property Group,1,2,,,,,,,,
"This beautiful character 8 room rental house is located at 7724 - 106 Street in Edmonton, Alberta in the Queen Alexandra neighbourhood. It is a two and a half storey wood-frame, construction house with a finished basement. It was built in 1922. The main floor has hardwood flooring throughout with a spacious living room, dining room, and kitchen. The top two levels have a total of 6 bedrooms and 2 three-piece bathrooms. The basement has a private kitchen. The basement contains an additional rental room and a three piece bathroom. There are two furnaces as well as a tankless hot water heater. There is ample graveled parking at the rear of the property. This property is perfect for use as an AirBnb or student rental house, with easy access to transit and close proximity to the University of Alberta and the University of Alberta Hospital.","$748,888",8,4.00,4,"2,007",0.00,1922,Single Family,Residential Detached Single Family,2 and Half Storey,7224 106 Street Nw,Edmonton,Queen Alexandra,,Edmonton,ALBERTA,AB,T6E 4V6,See Remarks,,"Off Street, Front and Rear Drive Access, Parking Pad Cement or Paved",No,No,"Carpet, Hardwood, Linoleum","Dryer, Hood Fan, Microwave Hood Cover, Oven-Microwave, Refrigerator, Washer, Refrigerators-Two, Stoves-Two",Forced Air-2,No,4,Yes,"Full, Fully Finished",No,Vinyl,"Back Lane, Fenced, Public Transportation, Schools, Shopping Nearby, See Remarks, Partially Landscaped",Wood Frame,Concrete,,,,No,No,Courtesy Of David Parker Of Northfield Commercial,6,,,,,RF1,,,,
"FANTASTIC 1,755 sq ft 2-STOREY FAMILY HOME IN HIGHLY SOUGHT-AFTER HOLYROOD * MINUTES TO RIVER VALLEY AND DOWNTOWN * 5 BEDROOMS * DOUBLE OVERSIZED 24X24 HEATED GARAGE * RV PARKING * LARGE LOT * FINISHED BASEMENT * Very well maintained, 5 bedroom, 2 storey home in a super location, close to the Valley Line LRT, Bonnie Doon Mall, Whyte Avenue, UofA, River Valley and Downtown. The south facing living and dining rooms each have a bay window which gives you plenty of light. On the second floor you will find a large primary bedroom with large south and west facing windows. There are three more bedrooms upstairs, one which features a sliding door and a balcony. This home has hardwood throughout on main floor, some newer windows, a high efficiency furnace, newer hot water tank (2019), a water softening system, LED lights everywhere and tons of storage. In the backyard you’ll find a 24'x24' garage, a large parking pad for your RV, two sheds and a vegetable garden.","$499,000",5,3.00,2,"1,755",0.15,1962,Single Family,Residential Detached Single Family,2 Storey,7536 94 Avenue Nw,Edmonton,Holyrood,,Edmonton,ALBERTA,AB,T6C 1W1,"Closet Organizers, Detectors Smoke, Hot Water Natural Gas, No Animal Home, No Smoking Home, Patio, Natural Gas BBQ Hookup, Carbon Monoxide Detectors, Low Flow/Dual Flush Toilets, Programmable Thermostat, R.V. Storage",5,"Double Garage Detached, Heated, 220 Volt Wiring, Insulated, Over Sized, RV Parking",No,No,"Carpet, Hardwood, Linoleum","Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Microwave Hood Cover, Refrigerator, Storage Shed, Vacuum System Attachments, Washer, Garage heater, Stove-Gas, Vacuum Systems, Water Softener, Curtains and Blinds, Fan-Ceiling",Forced Air-1,No,3,Yes,"Full, Fully Finished",No,Vinyl,"Back Lane, Fenced, Schools, Shopping Nearby, Vegetable Garden",Wood Frame,Concrete,Holyrood Elementary,"Ottewell Jr, Vimy Ridge",McNally,No,No,Courtesy Of Herman Ansink Of RE/MAX Elite,5,2,24x24,1,,,,,,
"This 2.5 storey under construction by anthony developments is in the highly sought after community of Parkview. Easy commute to downtown, restaurants and prime access to walking trails on ValleyView Drive and the River Valley. 3rd floor loft w/covered patio(engineered for hot tub)4 bedroom, 5bath, all tile and hardwood no carpet, luxury kitchen, butlers pantry,home office, home gym, entertainment wet bar, heated bsmt floors, corner lot with double garage and landscaping leaves nothing behind. This luxury home boasts 2647SF above grade with an added 1074SF fully developed basement. Two decks to host, entertain or simply relax in. All the upgrades and extras in this high quality craftsmanship home can be yours. Do not miss out on this opportunity!","$1,499,000",4,5.00,3,"2,647",0.09,2022,Single Family,Residential Detached Single Family,2 and Half Storey,8904 140 Street Nw Nw,Edmonton,Parkview,,Edmonton,ALBERTA,AB,T5R 0J3,"Infill Property, HRV System, Ceiling 9 ft., Closet Organizers, Deck, Detectors Smoke, Exterior Walls- 2x6', Hot Water Natural Gas, Insulation-Upgraded, Low Flow Faucets/Showerheads, Low Flow/Dual Flush Toilets, Programmable Thermostat, Vaulted Ceiling, Vinyl Windows",,Double Garage Detached,No,No,"Ceramic Tile, Engineered Wood","Humidifier-Power (Furnace), Oven-Built-In, Oven-Microwave, Refrigerator, Stove-Countertop Gas, Washer, Air Conditioning-Central, Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Hood Fan",Forced Air-1,Yes,3,Yes,"Fully Finished, Full",No,"Brick, Cedar, Acrylic Stucco","Back Lane, Corner, Fenced, Landscaped, Paved Lane, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,Parkview,Parkview,Jasper Place,No,No,Courtesy Of Monica Paolini Of MaxWell Polaris,3,2,"21' X 22""",2,"Gas, Direct Vent",,corner lot,,,
"STEPS away from the renowned River Valley system this home is the one you have been waiting for! Beautiful 2-storey home in desirable Belgravia neighbourhood, close to U of A with a WALK OUT BASEMENT. Walking in you are greeted by a generous hallway and on either side is a formal dining room and a large and bright home office. The main floor also includes a walk-through pantry, a spacious kitche, a welcoming living room with a gas fireplace & south-facing balcony. Upstairs the master suite is huge and can easily accommodate a king sized bed, walk-in shower & north/south balconies. Fully finished basement with a family room, guest suite, mud room, & laundry. Tandem attached garage & private, well-treed lot. Near LRT & River Valley trails. Recent updates include kitchen & bathrooms, air conditioner, furnace, washer/dryer, & gas stove. Walking distance to the river valley, University of Alberta, Cross Cancer Institute and the LRT. Don't miss this opportunity in one of the best communities in Edmonton!","$799,000",4,4.00,3,"1,707",0.10,2003,Single Family,Residential Detached Single Family,2 Storey,11809 71a Avenue Nw,Edmonton,Belgravia,,Edmonton,ALBERTA,AB,T6G 2W5,"Air Conditioner, Deck, Detectors Smoke, Ceiling 9 ft., Hot Water Natural Gas, No Animal Home, No Smoking Home",,"Double Garage Attached, Tandem",No,No,"Laminate Flooring, Carpet, Slate","Dishwasher-Built-In, Dryer, Refrigerator, Washer, Stove-Gas, Window Coverings",Forced Air-2,No,3,Yes,"Full, Fully Finished",No,Stucco,"Back Lane, Fenced, Landscaped, Picnic Area, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Backs Onto Park/Trees, Flat Site, Golf Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Sean Gerke Of Century 21 All Stars Realty Ltd,3,2,,1,,,,,,
"Great family home on a quiet street in the wonderful community of Gariepy! Updated and meticulously maintained, pride of ownership shows throughout this home. A spanning main floor contains 2 large living rooms, a formal dining room & great kitchen with beautiful cherry wood cabinets, newer white appliances, granite counters, mosaic backsplash, undermount sink looking out to the SE facing yard & an eat-in area for informal dining. The main floor also has a 2 pc powder room & a great boot room with access to a side door as well as the attached garage. The central staircase has a gorgeous wood & iron railing with an open-to-below feature. 3 great sized bedrooms & 2 full baths upstairs. The master is 17x12 with a walk-in closet & 3 pc ensuite. The basement is fully finished with a large rec room, 2 more bedroom/dens, 2pc bath, storage & laundry rooms. Great yard with a deck, concrete patio, large shed & beautiful landscaping & lush lawn. Great area close to schools, ravine, river & Country Club Golf Course.","$474,900",5,4.00,2,"1,953",0.14,1978,Single Family,Residential Detached Single Family,2 Storey,87 Gariepy Crescent Nw,Edmonton,Gariepy,,Edmonton,ALBERTA,AB,T6M 1B5,"Deck, No Smoking Home",,"Double Garage Attached, Over Sized",No,No,"Carpet, Hardwood, Linoleum","Refrigerator, Stove-Electric, Washer, Window Coverings, Dishwasher-Built-In, Dryer, Freezer",Forced Air-2,Yes,3,Yes,"Fully Finished, Full",No,"Brick, Stucco","Fenced, Landscaped, Playground Nearby, Schools, Shopping Nearby",Wood Frame,Concrete,Centennial,S. Bruce Smith,Jasper Place,No,No,Courtesy Of Michael Speers Of MaxWell Challenge Realty,3,2,21'6 x 20'3,2,"Wood, Brick Facing, Mantel",,,,,
"Welcome to this Alberta Avenue GEM! From the moment you walk in you'll be pleased with the perfect mix of history, charm & modern touches throughout! The living room is bright and spacious, flowing nicely into the dining room with laminate flooring throughout. The kitchen features oak cabinets, modern countertops, STAINLESS STEEL appliances & GAS RANGE - opens up to your large west-facing raised deck! Upstairs you'll find 3 good sized bedrooms for this age of home & the UPDATED 4-piece bath! The finished basement offers another living space, a cozy den, 3-piece bath & the laundry room. PLUS enjoy the spacious 3-Season SUNROOM, perfect spot for your morning coffee! Central location makes it easy to commute anywhere in the city!","$199,900",3,2.00,2,"1,065",0.09,1914,Single Family,Residential Detached Single Family,2 Storey,11538 89 Street Nw,Edmonton,Alberta Avenue,,Edmonton,ALBERTA,AB,T5B 3T9,"See Remarks, Deck",,"On Street, Rear Drive Access",No,No,"Carpet, Hardwood, Laminate Flooring","Dishwasher-Built-In, Dryer, Microwave Hood Cover, Refrigerator, Washer, Window Coverings, Stove-Gas",Forced Air-1,No,3,Yes,"Partly Finished, Part",No,Stucco,"Back Lane, Level Land, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Fenced, Fruit Trees/Shrubs",Wood Frame,Concrete,Delton School,Spruce Avenue School,Victoria School,No,No,Courtesy Of Ashley Avery Of 2% Realty Pro,3,,,,,,,,,
"No expense was spared on this custom crafted home in CRESTWOOD. MASSIVE Lot 84’x139’. The attention to detail, outstanding finishing and quality of workmanship are displayed throughout. Over 3,600 Sq.ft of living space, 4 beds, 3.5 baths, formal DINING ROOM, family rm, living rm, Stone concrete fireplace, exquisite light fixtures, and hardwood throughout. SUBZERO fridge, Viking gas stove, miele dishwasher, granite counters, and a massive island. Master bedroom is an owner’s retreat offering an impressive closet organizer & vanity by Redl, and spa bath with, marble floors/walls, granite shower, and panache glass. 2nd flr bath heated floor. Basement fully finished! Upgrades include 2 hwt tanks/2020, furnace/2020, new roof, electrical panel, insulation, stucco, baths, and much more. Garage 23’x24’ heated with storage loft/stair access. Landscaping is a gardener’s dream! Irrigation & Large rear deck! Only a 2 min walk to the River Valley trails and scenic views of Downtown skyline. Don’t miss this!","$1,999,000",4,4.00,3,"2,671",0.00,1955,Single Family,Residential Detached Single Family,2 Storey,9507 141 Street Nw,Edmonton,Crestwood,,Edmonton,ALBERTA,AB,T5N 2M5,"Deck, Ceiling 9 ft., Vinyl Windows",,"Double Garage Attached, Heated, Insulated",No,No,"Carpet, Hardwood, Marble","Dishwasher-Built-In, Dryer, Garage Opener, Hood Fan, Refrigerator, Stove-Gas, Vacuum System Attachments, Window Coverings, Oven-Built-In, Water Softener, Garage Control",Forced Air-1,Yes,3,Yes,"Full, Fully Finished",No,"Brick, Stucco","Fenced, Landscaped, Playground Nearby, Schools, Backs Onto Park/Trees, Flat Site, Public Transportation",Wood Frame,Concrete,,,,No,No,Courtesy Of Ali Shaben Of Sable Realty,3,2,,1,"Gas, Stone Facing",,,,,
"This unique two-and-a-half-story home in the desirable community of Westmount with over 2200 sq ft of living space above grade, this 4 bedroom 3 & a half bathroom gem boasts a 280 sq ft loft and additional patio for the ultimate summer entertainment space. The large front room windows ensure tons of natural light to enhance the beautiful living space. With a stunning quartz waterfall countertop, stainless steel appliances, and ceramic tile, this dreamy kitchen is the perfect place to entertain! Beautiful, engineered hardwood flooring, sleek glass partitions, and railings add to that timeless modern appeal. Downstairs you’ll find a fully finished basement with an open family room, the 4th bedroom and a wet bar. Heading out back will lead you to your double detached garage, deck, and quaint outdoor living area.","$769,900",4,4.00,3,"2,201",0.00,2022,Single Family,Residential Detached Single Family,2 Storey,10983 122 Street Nw,Edmonton,Westmount,,Edmonton,ALBERTA,AB,T5M 0A9,"Ceiling 9 ft., Deck, Infill Property",,Double Garage Detached,No,No,"Carpet, Ceramic Tile, Engineered Wood","Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Hood Fan, Oven-Built-In, Oven-Microwave, Refrigerator, Stove-Countertop Gas, Washer",Forced Air-1,No,3,Yes,"Full, Fully Finished",No,"Metal, Vinyl, Acrylic Stucco","Playground Nearby, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Tyler Ellis Of Realty ONE Group Metro,3,2,,1,,,,,,
"Welcome to this GORGEOUS Character home located on ADA BLVD! This EXTENSIVELY renovated 2.5 storey reverse WALK OUT home features custom wainscoting throughout, bright living room w/ gas fireplace taking in views on the river valley, built in entertainment system, plaster moldings, large dining area, open kitchen w/ Quartz countertops, main floor laundry room, main floor DEN/Bedroom w/ full BATH! Upstairs offer's 3 good sized bedrooms, Full washroom & STUNNING Primary suite w/ 4pc ensuite bath, gas fireplace lounge overlooking the river valley & 3rd floor LOFT w/ 2pc bath excellent for MASSIVE WALK IN CLOSET! Basement is fully finished w/ large bedroom, bathroom w/ Sauna, 2 storage room's & Rec room! Can easily be converted to IN LAW SUITE. Massive/RARE 160ft deep lot, $150,000 spent in landscaping, built in sprinkler system, perennials, fireplace, Storage shed & garden also enjoy the OVERSIZED HEATED TRIPLE CAR GARAGE with huge pad parking for 6 cars total! Walking distance to Concordia and mins from DT!","$1,049,000",4,5.00,4,"2,468",0.15,1987,Single Family,Residential Detached Single Family,2 and Half Storey,7314 Ada Boulevard Nw,Edmonton,Virginia Park,,Edmonton,ALBERTA,AB,T5B 4E5,"Air Conditioner, Closet Organizers, Deck, See Remarks, Parking-Extra, Patio, Sprinkler System-Underground, Walkout Basement, Walk-up Basement",6,"Heated, Over Sized, Triple Garage Detached",No,No,"Carpet, Hardwood, Non-Ceramic Tile","Air Conditioning-Central, Dishwasher-Built-In, Dryer, Microwave Hood Cover, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings, Vacuum System Attachments, Vacuum Systems, Water Softener, Garage heater, Freezer, Garburator",Forced Air-2,Yes,3,Yes,"Full, Fully Finished, Walkout, Walk-up",Yes,"Stone, Vinyl","Back Lane, Fenced, Golf Nearby, Landscaped, Low Maintenance Landscape, Playground Nearby, Public Transportation, River Valley View, Schools, Shopping Nearby, View Downtown, Private Setting, Ravine View, River View, View City",Wood Frame,Concrete,Virginia Park,Highlands,Eastglen,No,No,Courtesy Of Chris Karampelas Of MaxWell Polaris,3,3,,1,"Gas, Insert",,,,,
"*Immediate Possession available* You'll love this newly renovated 1560 sq ft, 2-story home with huge yard, and a huge master bedroom with walk in closet. This house boasts 2.5 bathrooms, main floor laundry room, vaulted ceilings, upstairs wrap around railings overlooking living room, large dining room, front and back deck, new shed, driveway that holds 3 vehicles (at least), 2 hot water tanks, air conditioning, large picture window in living room and great neighbors. The basement has a living room, full bathroom, storage room, and an extra room that could be turned into a small kitchen or bedroom (room currently drywalled, concrete floor, no drop ceiling) adding approx another 600 sq ft of finished living space. Just a short walk to Grocery stores, clinics, and restaurants and a short drive to pretty much any amenities needed. Schools, parks, playgrounds and bus stops are very close by as well.","$335,000",3,3.00,2,"1,547",0.13,1979,Single Family,Residential Detached Single Family,2 Storey,11411 141 Avenue Nw,Edmonton,Carlisle,,Edmonton,ALBERTA,AB,T5X 3Z6,Gazebo,3,Parking Pad Cement or Paved,No,No,"Carpet, Laminate Flooring, Linoleum","Microwave Hood Cover, Refrigerator, Storage Shed, Stove-Electric, Washer, Dishwasher-Built-In, Dryer, Freezer",Forced Air-1,No,3,Yes,"Fully Finished, Full",No,"Brick, Cedar, Stucco","Landscaped, Level Land, Public Transportation, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Jeff Jackson Of Bode,3,,,1,,,,,,
"Handyman special or infill opportunity! Land use zoning RF3. Lot size 32.8 Ft x125 Ft. This Bungalow has laminate flooring throughout. Tiled 4 pce bath with claw foot tub/shower head. Spacious size kitchen. Back lane access. Roof needs to be replaced and foundation needs work. Priced for lot value only. House is lived in now so livable, but needs a lot of work.","$159,900",2,1.00,1,943,0.09,1942,Single Family,Residential Detached Single Family,Bungalow,12144 95 Street Nw,Edmonton,Alberta Avenue,,Edmonton,ALBERTA,AB,T5G 1M8,"Infill Property, Handyman Special",,"No Garage, Rear Drive Access",No,No,"Laminate Flooring, Non-Ceramic Tile","Dryer, Refrigerator, Stove-Electric, Washer",Forced Air-1,No,1,Yes,"Full, Unfinished",No,Vinyl,Back Lane,Wood Frame,Concrete,,,,No,No,Courtesy Of Craig Finnman Of RE/MAX Elite,2,,,,,RF3,32.8 Ft W x 125 Ft L,,,
